"name","link"
"Shang Palace","/Restaurant_Review-g294265-d797464-Reviews-Shang_Palace-Singapore.html"
"1. Le Noir Bar & Lounge","/Restaurant_Review-g294265-d18190065-Reviews-Le_Noir_Bar_Lounge-Singapore.html"
"2. Entre-Nous creperie","/Restaurant_Review-g294265-d1193730-Reviews-Entre_Nous_creperie-Singapore.html"
"3. Alma By Juan Amador","/Restaurant_Review-g294265-d8504143-Reviews-Alma_By_Juan_Amador-Singapore.html"
"4. Fu Lin Men (CSC)","/Restaurant_Review-g294265-d13873832-Reviews-Fu_Lin_Men_CSC-Singapore.html"
"5. Fu Lin Men Chinese Restaurant (SRC)","/Restaurant_Review-g294265-d15608624-Reviews-Fu_Lin_Men_Chinese_Restaurant_SRC-Singapore.html"
"Sushi Jiro @ Keppel Bay","/Restaurant_Review-g294265-d15631006-Reviews-Sushi_Jiro_Keppel_Bay-Singapore.html"
"6. Cure","/Restaurant_Review-g294265-d8414199-Reviews-Cure-Singapore.html"
"7. Colony","/Restaurant_Review-g294265-d8571637-Reviews-Colony-Singapore.html"
"8. Summer Pavilion","/Restaurant_Review-g294265-d796940-Reviews-Summer_Pavilion-Singapore.html"
"9. Madame Fan","/Restaurant_Review-g294265-d14056008-Reviews-Madame_Fan-Singapore.html"
"10. Positano Risto","/Restaurant_Review-g294265-d13152787-Reviews-Positano_Risto-Singapore.html"
"The Refinery Restaurant & Bar","/Restaurant_Review-g294265-d7334319-Reviews-The_Refinery_Restaurant_Bar-Singapore.html"
"11. NOX - Dine in the Dark","/Restaurant_Review-g294265-d4611806-Reviews-NOX_Dine_in_the_Dark-Singapore.html"
"12. Paulaner Brauhaus Singapore","/Restaurant_Review-g294265-d1018167-Reviews-Paulaner_Brauhaus_Singapore-Singapore.html"
"13. Waterfall Ristorante Italiano","/Restaurant_Review-g294265-d3952172-Reviews-Waterfall_Ristorante_Italiano-Singapore.html"
"14. Tablescape Restaurant & Bar","/Restaurant_Review-g294265-d13283486-Reviews-Tablescape_Restaurant_Bar-Singapore.html"
"15. Chef's Table by Chef Stephan Zoisl","/Restaurant_Review-g294265-d8582472-Reviews-Chef_s_Table_by_Chef_Stephan_Zoisl-Singapore.html"
"Wildseed Cafe at The Alkaff Mansion","/Restaurant_Review-g294265-d17374888-Reviews-Wildseed_Cafe_at_The_Alkaff_Mansion-Singapore.html"
"16. Akira Back","/Restaurant_Review-g294265-d11890575-Reviews-Akira_Back-Singapore.html"
"17. Ma Cuisine","/Restaurant_Review-g294265-d13923561-Reviews-Ma_Cuisine-Singapore.html"
"18. Rise Restaurant","/Restaurant_Review-g294265-d3471372-Reviews-Rise_Restaurant-Singapore.html"
"19. Joie by Dozo","/Restaurant_Review-g294265-d7596985-Reviews-Joie_by_Dozo-Singapore.html"
"20. Chihuly Lounge","/Restaurant_Review-g294265-d2196145-Reviews-Chihuly_Lounge-Singapore.html"
"O'maJ","/Restaurant_Review-g294265-d5929137-Reviews-O_maJ-Singapore.html"
"21. Bar-Roque Grill","/Restaurant_Review-g294265-d4504877-Reviews-Bar_Roque_Grill-Singapore.html"
"22. Zazz Pizza","/Restaurant_Review-g294265-d15684477-Reviews-Zazz_Pizza-Singapore.html"
"23. Marmaris Restaurant","/Restaurant_Review-g294265-d17348063-Reviews-Marmaris_Restaurant-Singapore.html"
"24. The Wine & Gourmet Friends","/Restaurant_Review-g294265-d15142954-Reviews-The_Wine_Gourmet_Friends-Singapore.html"
"25. Fat Belly","/Restaurant_Review-g294265-d13112841-Reviews-Fat_Belly-Singapore.html"
"J Bistro @ 45 Syed Alwi","/Restaurant_Review-g294265-d17640559-Reviews-J_Bistro_45_Syed_Alwi-Singapore.html"
"26. Vianney Massot Restaurant","/Restaurant_Review-g294265-d10122095-Reviews-Vianney_Massot_Restaurant-Singapore.html"
"27. Elixir Boutique Roasters","/Restaurant_Review-g294265-d17791963-Reviews-Elixir_Boutique_Roasters-Singapore.html"
"28. My Awesome Cafe","/Restaurant_Review-g294265-d6405257-Reviews-My_Awesome_Cafe-Singapore.html"
"29. Greenleaf Cafe","/Restaurant_Review-g294265-d8758019-Reviews-Greenleaf_Cafe-Singapore.html"
"30. Origin Grill","/Restaurant_Review-g294265-d13355758-Reviews-Origin_Grill-Singapore.html"
"Torio Japanese Restaurant","/Restaurant_Review-g294265-d15590971-Reviews-Torio_Japanese_Restaurant-Singapore.html"
